indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2017-11-01,33628.98265709631,28425.301720641164,33628982.657100014,33122387.951610014,506594.70549,33628982.657100014,11657995.803109996,8324348.80678286,12553464.114272805,1093173.9329353003,33628982.657100014,21967173.399896298,4297207.188262001,8282231.901499999,1138077.3718599998,3641546.5569,3032406.663384299,1206025.3777199998,369678.34027000004,4988358.591749999,864815.7013300001,2729390.0808200003,3079244.8833
2017-12-01,40766.3221043007,34084.519433704845,40766322.1043,40320285.2796,446036.8247,40766322.1043,13710305.37311,11070098.736242607,14576008.2373072,1409909.7576381993,40766322.1043,26888567.2558907,6640857.415859999,9667850.14748,1346130.8131799996,3684165.0315000005,3674954.0998406997,1398334.6893299997,476275.0586999999,5239243.10839,1278355.01801,2857322.67385,4502834.048160002
2018-01-01,32479.20800557399,26736.746546069702,32479208.00556999,32103107.855989993,376100.1495799999,32479208.00556999,11705433.565544002,8391851.735510603,11256746.646177003,1125176.0583415003,32479208.00556999,21415403.097654004,4222218.4549199985,7836896.4136700025,1122224.4299800002,3431469.9459899995,3091349.8772140006,1318384.4937699998,392859.48211000004,4989430.3353,931581.0564099998,1999948.56584,3142844.9503700007
2018-02-01,31736.82455214001,25650.68873210639,31736824.55214,31357444.8335,379379.71864,31736824.55214,10720300.947148008,8607859.2800684,11364650.340209996,1044013.9847172999,31736824.55214,21328882.90137,4356546.198850001,7699395.38065,1101686.47128,3398477.22028,3136911.74234,1248469.28659,387396.60138,4725277.13508,905082.7940100002,1781739.8561899997,2995841.8654899998
2018-03-01,36531.291328669984,28846.727300021103,36531291.32867001,36055413.05464001,475878.27403,36531291.32867001,12955730.464524,9144000.036735995,13175374.632970996,1256186.1944464003,36531291.32867001,25205918.028519996,4597365.9620199995,9795952.073229998,1412393.8548500005,3996896.45261,3635088.65418,1329929.28416,438291.74747,5341668.284600002,964070.6810000002,2049351.7862999998,2970282.54825
2018-04-01,34113.74566680001,26429.52752809941,34113745.66680001,33622270.978180006,491474.68862000003,34113745.66680001,11685359.587512009,8980714.557799002,12193290.57827,1254380.9432200005,34113745.66680001,23327342.936460003,4218613.157120001,8945426.33082,1255968.4269100002,3762309.3645599997,3537305.15074,1205249.4992100003,402471.00710000005,5038590.881,953653.6989800003,2169127.4225799995,2625030.7277800012
2018-05-01,35133.146391275004,26430.503243249208,35133146.39128,34407391.593590006,725754.7976899999,35133146.39128,11925300.089559997,8668139.0539873,13241497.643993005,1298209.6037401005,35133146.39128,23066625.490795,3737570.4232599996,9171763.80268,1297093.1459100002,3872325.67532,3439295.801160001,1155946.7557050001,392629.88676000014,4862993.3251,1148685.7329600002,3356541.379099999,2698300.4633200006
2018-06-01,38338.20974565649,27465.909808897977,38338209.74565996,37744796.10936996,593413.63629,38338209.74565996,13517215.493030002,9513855.561389996,13623892.631039994,1683246.0602,38338209.74565996,25418022.4916865,4276518.981950001,10197523.387209998,1422314.27823,4138338.41736,3786047.2163765,1186724.0815500002,410556.12901000003,5109867.417750001,1426312.5995699996,3509590.7413399993,2874416.495310001
2018-07-01,39278.44996264218,27033.43803708506,39278449.96263997,38696650.90644997,581799.0561899999,39278449.96263997,14061294.336093998,10619025.064987898,13151343.173305005,1446787.3882568001,39278449.96263997,26789219.719002206,4329776.74553,10941910.27776,1535870.4263799996,4337129.471090002,3902397.0372172,1296379.3779809999,445756.383044,5496160.8176299995,1357253.23614,2294925.16437,3340891.025500001
2018-08-01,39491.90727419412,26267.256514020613,39491907.27419998,38852702.48435998,639204.78984,39491907.27419998,13783068.023829997,10164619.777058007,13997246.389675,1546973.0836399999,39491907.27419998,26996838.62034418,4440944.928766267,10804194.908603404,1505870.5487064333,4432915.801648892,4015209.7738825637,1359742.1032454548,437960.5554911628,5542025.025539445,964553.3923916543,2037255.936190952,3951234.299727921
2018-09-01,39925.54899754218,24310.777978264978,39925548.99754999,39313002.174979985,612546.82257,39925548.99754999,14307986.236589996,10187454.21635,14097447.208820008,1332661.33579,39925548.99754999,28191321.865455996,4915662.833759998,11194772.656069998,1509785.4356299997,4594864.59784,4200513.124326,1330111.03351,445612.1843200001,6102652.80399,853166.7950261998,1853671.9831099997,2924735.549960001
2018-10-01,43420.253822487975,25010.476704449233,43420253.82247999,42646486.70567999,773767.1168,43420253.82247999,15413337.429618,10495359.76456195,16008985.684051717,1502570.944243483,43420253.82247999,30065814.641687997,5367369.58585,11730986.055639997,1633042.6958599999,4894616.84174,4495750.370687999,1478760.3967900001,465288.6951200001,6486922.170949998,1010425.31317,2543612.9365500007,3313478.76013
2018-11-01,44849.44600603298,24891.71263312131,44849446.00603998,44076960.79194998,772485.21409,44849446.00603998,15412653.112490004,11132996.566479996,16773555.452833004,1530240.87424,44849446.00603998,30971868.835442994,5999482.30463,11863636.204099998,1623972.48984,4918020.845369999,4504157.019553,1590214.27644,472385.6955100001,6809307.630779999,1023726.6606099999,2437736.3168,3606806.5624000006
2018-12-01,57203.95586361999,31136.131957050453,57203955.86361999,56452356.42238999,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.428900015,1982093.35623,57203955.86361999,38897886.82512,9591843.12996,14277710.694189997,1987411.8307699997,5209569.967880001,5446438.43636,1782265.95895,602646.8070100001,7737390.299400001,1732097.9632399997,2850608.699660001,5985972.076199999
2019-01-01,45433.623712055996,23888.726073338843,45433623.71206,44740575.241629995,693048.47043,45433623.71206,16005633.827199997,11687681.667650005,16222411.460373,1517896.7568399997,45433623.71206,30532173.730396003,5940722.932500001,11509132.278580002,1602588.7262000002,4824152.72738,4540700.406095999,1622205.3741,492671.28554,7273538.2786300015,1296604.2484699998,2193855.6931000003,4137451.7614600006
2019-02-01,44592.14489534219,22542.04994183623,44592144.895340025,43914187.05556002,677957.8397799999,44592144.895340025,15466783.51002,12330583.273768004,15330194.010651998,1464584.1009,44592144.895340025,30680257.786579996,5900970.590899999,11400304.63475,1585634.2492300004,4837064.58602,4861296.852190001,1607641.3985300001,487345.4749599999,6902733.488779999,1078456.14302,2065592.4267400005,3865105.0502222204
2019-03-01,51065.69425464903,24647.680742226563,51065694.25465001,50347782.683160014,717911.5714899999,51065694.25465001,17737278.503999993,13685678.100496195,17969551.879616998,1673185.7705400004,51065694.25465001,35639253.94641899,5901419.921098999,13664374.994759997,1863315.8318299996,5729158.058440001,6187148.573529999,1733045.1574399997,560791.4093200001,7753557.686830002,1250658.5743299997,2294642.2698900006,4127581.7771799993
2019-04-01,49621.40927512204,23073.755385152883,49621409.275120035,48939565.17114004,681844.1039799999,49621409.275120035,17102015.742659997,13152280.506070001,17736333.211400002,1630779.8149899996,49621409.275120035,35631833.000382,5437459.685240001,14448162.663839998,1961842.2602000001,5754857.497710001,5891682.426951999,1598053.8844300006,539774.5820099999,7347464.87663,1179040.5136800003,2005702.6569300005,3457368.2275
2019-05-01,50778.299914400006,22852.143404939907,50778299.914400004,49813853.04009,964446.87431,50778299.914400004,17247751.268843994,13838777.255979998,18013021.917039998,1678749.47254,50778299.914400004,35586722.00145,5258910.24774,14391198.41905,1910340.61452,6223354.017650002,5732375.989019999,1526614.2530900002,543928.4603800001,7602583.365410001,1504788.0079299998,2486484.8315199995,3597721.7080899994
